file	path	reference	status	provided_title	actual_title
LEF1.yaml	phenotypes[0].effects[0].support[0]	PMID:7628695	MISMATCH	Development of several organs that require inductive epithelial-mesenchymal interactions is impaired in LEF-1-deficient mice	Targeted disruption of the glucocorticoid receptor gene blocks adrenergic chromaffin cell development and severely retards lung maturation
LEF1.yaml	phenotypes[0].effects[1].support[0]	PMID:7628695	MISMATCH	Development of several organs that require inductive epithelial-mesenchymal interactions is impaired in LEF-1-deficient mice	Targeted disruption of the glucocorticoid receptor gene blocks adrenergic chromaffin cell development and severely retards lung maturation
LEF1.yaml	phenotypes[0].effects[2].support[0]	PMID:8702844	MISMATCH	Impaired T-cell development and disturbed homeostasis of T-cell numbers in mice lacking the transcription factor LEF-1	Identification of a negative glucocorticoid response element in the rat type 1 vasoactive intestinal polypeptide receptor gene
LEF1.yaml	phenotypes[0].effects[3].support[0]	PMID:7628695	MISMATCH	Development of several organs that require inductive epithelial-mesenchymal interactions is impaired in LEF-1-deficient mice	Targeted disruption of the glucocorticoid receptor gene blocks adrenergic chromaffin cell development and severely retards lung maturation
LEF1.yaml	phenotypes[0].effects[4].support[0]	PMID:9845363	MISMATCH	De novo hair follicle morphogenesis and hair tumors in mice expressing a truncated beta-catenin in skin	De Novo hair follicle morphogenesis and hair tumors in mice expressing a truncated beta-catenin in skin
LEF1.yaml	phenotypes[0].effects[5].support[0]	PMID:10395735	MISMATCH	Wnt3 is required for somite formation during segmentation of the presomitic mesoderm	Biochemical characterization of alpha-ketooxadiazole inhibitors of elastases
LEF1.yaml	phenotypes[1].effects[2].support[0]	PMID:31743770	MISMATCH	LEF1 expression patterns in mesenchymal tumors and sarcomas	Fgf21 knockout mice generated using CRISPR/Cas9 reveal genetic alterations that may affect hair growth
WNT3A.yaml	phenotypes[0].effects[0].support[0]	PMID:22789636	MISMATCH	WNT3A mutations associated with autosomal dominant osteoporosis: a phenotype-genotype correlation study	Rare variations in WNT3A and DKK1 may predispose carriers to primary osteoporosis
WNT3A.yaml	phenotypes[0].effects[1].support[0]	PMID:29620724	MISMATCH	WNT3A deficiency causes autosomal recessive skeletal dysplasia with severe brain malformations	Expanding the phenome and variome of skeletal dysplasia
WNT3A.yaml	phenotypes[0].effects[2].support[0]	PMID:23209148	MISMATCH	Wnt and the Wnt signaling pathway in bone development and disease	Wnt signaling in bone development and disease: making stronger bone with Wnts
WNT3A.yaml	phenotypes[0].effects[3].support[0]	PMID:32328030	MISMATCH	WNT signaling and skeletal dysplasias: review of current literature and therapeutic implications	WNT Signaling and Bone: Lessons From Skeletal Dysplasias and Disorders
WNT3A.yaml	phenotypes[1].effects[0].support[0]	PMID:25905900	MISMATCH	Transcriptome Analysis of Wnt3a-Treated Triple-Negative Breast Cancer Cells	Prevalence and risk factors for adult pulmonary tuberculosis in a metropolitan city of South India
WNT3A.yaml	phenotypes[1].effects[1].support[0]	PMID:22298898	MISMATCH	Wnt3a growth factor induces androgen receptor-mediated transcription and enhances cell growth in human prostate cancer cells	Activation of β-catenin signaling in androgen receptor-negative prostate cancer cells
TCF7L2.yaml	phenotypes[1].effects[1].support[0]	PMID:35857760	MISMATCH	Wnt signaling in soft tissue sarcomas	Motility Increases the Numbers and Durations of Cell-Surface Engagements for Escherichia coli Flowing near Poly(ethylene glycol)-Functionalized Surfaces
TCF7L2.yaml	phenotypes[1].effects[2].support[0]	PMID:28179703	MISMATCH	TCF7L2 promotes liver cancer via activation of the Wnt signaling pathway	Evaluation of five discriminating indexes to distinguish Beta-Thalassemia Trait from Iron Deficiency Anaemia
DKK1.yaml	phenotypes[0].effects[3].support[0]	PMID:11672542	MISMATCH	Dickkopf1 Is Required for Embryonic Head Induction and Limb Morphogenesis in the Mouse	Gain- and loss-of-function Lyn mutant mice define a critical inhibitory role for Lyn in the myeloid lineage
DKK1.yaml	phenotypes[1].effects[0].support[0]	PMID:14695408	MISMATCH	The Role of the Wnt-Signaling Antagonist DKK1 in the Development of Osteolytic Lesions in Multiple Myeloma	The role of the Wnt-signaling antagonist DKK1 in the development of osteolytic lesions in multiple myeloma
