file	location	id	asserted_label	actual_label	matches	is_obsolete	replaced_by	consider
LRP5.md	primary_functions[0].activity.term	GO:0042813	Wnt-activated receptor activity	Wnt receptor activity	No	Yes		
LRP5.md	primary_functions[0].location.term	GO:0005886	plasma membrane	plasma membrane	Yes	Yes		
LRP5.md	primary_functions[0].complex.term	GO:1990851	Wnt signalosome	Wnt-Frizzled-LRP5/6 complex	No	Yes		
LRP5.md	primary_functions[0].upstream[0].term	GO:0017147	Wnt-protein binding	Wnt-protein binding	Yes	Yes		
LRP5.md	primary_functions[0].upstream[1].term	GO:0042803	protein homodimerization activity	protein homodimerization activity	Yes	Yes		
LRP5.md	primary_functions[0].downstream[0].term	GO:0090263	positive regulation of canonical Wnt signaling pathway	positive regulation of canonical Wnt signaling pathway	Yes	Yes		
LRP5.md	primary_functions[0].downstream[1].term	GO:0016310	phosphorylation	phosphorylation	Yes	Yes		
LRP5.md	primary_functions[0].downstream[2].term	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive regulation of DNA-binding transcription factor activity	Yes	Yes		
LRP5.md	primary_functions[0].processes[0].term	GO:0060070	canonical Wnt signaling pathway	canonical Wnt signaling pathway	Yes	Yes		
LRP5.md	primary_functions[0].processes[1].term	GO:0001649	osteoblast differentiation	osteoblast differentiation	Yes	Yes		
LRP5.md	primary_functions[0].processes[2].term	GO:0060346	bone trabecula formation	bone trabecula formation	Yes	Yes		
LRP5.md	primary_functions[0].roles[0].term	GO:0038023	signaling receptor activity	signaling receptor activity	Yes	Yes		
LRP5.md	primary_functions[1].activity.term	GO:0045124	regulation of bone resorption	regulation of bone resorption	Yes	Yes		
LRP5.md	primary_functions[1].location.term	GO:0001591	dopamine neuron	dopamine neurotransmitter receptor activity, coupled via Gi/Go	No	Yes		
LRP5.md	primary_functions[1].processes[0].term	GO:0045669	positive regulation of osteoblast differentiation	positive regulation of osteoblast differentiation	Yes	Yes		
LRP5.md	primary_functions[1].processes[1].term	GO:0002062	chondrocyte differentiation	chondrocyte differentiation	Yes	Yes		
LRP5.md	primary_functions[1].processes[2].term	GO:0030282	bone mineralization	bone mineralization	Yes	Yes		
LRP5.md	primary_functions[1].roles[0].term	GO:0070412	R-SMAD binding	R-SMAD binding	Yes	Yes		
LRP5.md	primary_functions[2].activity.term	GO:0005009	insulin-activated receptor activity	insulin receptor activity	No	Yes		
LRP5.md	primary_functions[2].location.term	GO:0043025	neuronal cell body	neuronal cell body	Yes	Yes		
LRP5.md	primary_functions[2].processes[0].term	GO:0042593	glucose homeostasis	glucose homeostasis	Yes	Yes		
LRP5.md	primary_functions[2].processes[1].term	GO:0006629	lipid metabolic process	lipid metabolic process	Yes	Yes		
LRP5.md	primary_functions[2].processes[2].term	GO:0030073	insulin secretion	insulin secretion	Yes	Yes		
LRP5.md	primary_functions[2].roles[0].term	GO:0070328	triglyceride homeostasis	triglyceride homeostasis	Yes	Yes		
LRP5.md	phenotypes[0].effects[0].term	HP:0011001	Increased bone mineral density	Increased bone mineral density	Yes	Yes		
LRP5.md	phenotypes[0].effects[1].term	MONDO:0010918	Worth disease	epilepsy, idiopathic generalized, susceptibility to, 1	No	Yes		
LRP5.md	phenotypes[0].effects[2].term	HP:0002757	Recurrent fractures	Recurrent fractures	Yes	Yes		
LRP5.md	phenotypes[1].effects[0].term	HP:0000939	Osteoporosis	Osteoporosis	Yes	Yes		
LRP5.md	phenotypes[1].effects[1].term	HP:0000618	Blindness	Blindness	Yes	Yes		
LRP5.md	phenotypes[1].effects[2].term	MONDO:0008190	Osteoporosis-pseudoglioma syndrome	obsolete human papillomavirus type 18 integration site 1	No	Yes		
LRP5.md	phenotypes[1].effects[3].term	HP:0002659	Increased susceptibility to fractures	Increased susceptibility to fractures	Yes	Yes		
LRP5.md	phenotypes[2].effects[0].term	HP:0004349	Reduced bone mineral density	Reduced bone mineral density	Yes	Yes		
LRP5.md	phenotypes[2].effects[1].term	HP:0000819	Diabetes mellitus	Diabetes mellitus	Yes	Yes		
STAT5A.md	primary_functions[0].activity.term	GO:0003700	DNA-binding transcription factor activity	DNA-binding transcription factor activity	Yes	Yes		
STAT5A.md	primary_functions[0].location.term	GO:0005634	nucleus	nucleus	Yes	Yes		
STAT5A.md	primary_functions[0].upstream[0].term	GO:0060396	growth hormone receptor signaling pathway	growth hormone receptor signaling pathway	Yes	Yes		
STAT5A.md	primary_functions[0].upstream[1].term	GO:0038161	prolactin signaling pathway	prolactin signaling pathway	Yes	Yes		
STAT5A.md	primary_functions[0].downstream[0].term	GO:0045944	positive regulation of transcription by RNA polymerase II	positive regulation of transcription by RNA polymerase II	Yes	Yes		
STAT5A.md	primary_functions[0].processes[0].term	GO:0060749	mammary gland alveolus development	mammary gland alveolus development	Yes	Yes		
STAT5A.md	primary_functions[0].processes[1].term	GO:0007595	lactation	lactation	Yes	Yes		
STAT5A.md	primary_functions[1].activity.term	GO:0038110	interleukin-2-mediated signaling pathway	interleukin-2-mediated signaling pathway	Yes	Yes		
STAT5A.md	primary_functions[1].processes[0].term	GO:0030218	erythrocyte differentiation	erythrocyte differentiation	Yes	Yes		
